Key,Array
B00006L9LC,"[73.59383392333984, 18.458389282226562, 9.554134368896484, 47.115966796875, 76.7577133178711, 2.579188823699951, 60.666908264160156, 84.56146240234375, 32.44572067260742, 18.211576461791992, 76.05353546142578, 21.559463500976562, 39.79469680786133, 61.93489456176758, 20.292724609375, 23.177555084228516, 43.47625732421875, 78.99744415283203, 61.11040115356445, 55.08786392211914, 2.196746349334717, 5.604761123657227, 0.760341227054596, -0.33657753467559814, 21.364452362060547, 24.905771255493164, 46.420372009277344, 68.84788513183594, 0.0, 54.16330337524414, 0.0, 13.326921463012695, 52.7821044921875, 60.76107406616211, 10.08926010131836, 9.246127128601074, 27.5421142578125, 25.681018829345703, 2.077385187149048, 75.17497253417969]"
B0006O10P4,"[4.949855327606201, 0.0, 0.39153358340263367, 2.618881940841675, 4.949855327606201, 0.0, 0.906194806098938, 4.335058689117432, 1.1369941234588623, 0.0, 4.949855327606201, 2.618881940841675, 0.22113478183746338, 2.6697540283203125, 0.050872139632701874, 0.0, 0.0, 4.895357608795166, 2.789280414581299, 0.4229404032230377, 0.0, 0.0, 0.0, 0.0, 0.04086105525493622, 0.04086105525493622, 2.397747278213501, 0.7091039419174194, 0.0, 0.35067251324653625, 0.0, 0.0, 2.7992918491363525, 4.949855327606201, 0.0, 0.0, 0.375248521566391, 0.050872139632701874, 0.0, 4.949855327606201]"
B0009RF9DW,"[64.0166015625, 8.030421257019043, 4.816891670227051, 26.81697654724121, 65.37903594970703, 2.8720297813415527, 56.205509185791016, 65.10491943359375, 40.772117614746094, 6.79136848449707, 66.0787124633789, 40.34616470336914, 37.6409797668457, 42.513893127441406, 9.682687759399414, 22.33914566040039, 11.42805290222168, 51.44895553588867, 36.18143081665039, 35.95964813232422, 0.9159838557243347, 18.933387756347656, 0.24047069251537323, -0.33658039569854736, 8.792877197265625, 10.142038345336914, 24.709680557250977, 50.35523223876953, 0.0, 41.639312744140625, 0.0, 5.070959091186523, 36.55827713012695, 33.25831985473633, 26.76474952697754, 3.671245813369751, 27.045560836791992, 14.20987606048584, -0.5306915044784546, 55.739864349365234]"
B000FI4S1E,"[62.74726867675781, 3.6994333267211914, 7.518184185028076, 32.63365936279297, 63.632450103759766, 5.189530849456787, 45.84082794189453, 65.59717559814453, 38.82364273071289, 7.074039459228516, 67.59830474853516, 45.627464294433594, 31.856334686279297, 49.5020751953125, 9.515995025634766, 10.735025405883789, 19.31641960144043, 58.145565032958984, 41.79715347290039, 28.682987213134766, 4.120118618011475, 19.903676986694336, 0.9232143759727478, 0.0, 6.375374794006348, 12.755512237548828, 35.449092864990234, 41.27122497558594, 0.0, 37.86433029174805, 0.0, 8.936326026916504, 43.599082946777344, 37.325843811035156, 18.25481414794922, 3.2473714351654053, 19.52186393737793, 14.310735702514648, -0.20509853959083557, 58.736366271972656]"
B000FOI48G,"[0.2042515128850937, 0.17868760228157043, 0.0, 0.0, 1.0065771341323853, 0.0, 0.9676315188407898, 1.4023168087005615, 0.2716180086135864, 0.45030564069747925, 0.2716180086135864, 0.0, -1.5191909074783325, 0.2716180086135864, 0.17868760228157043, 0.17868760228157043, 0.17868760228157043, -0.056520093232393265, 1.2807306051254272, 0.7349591255187988, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4633411169052124, 0.17868760228157043, 0.45030564069747925, 0.0, 0.411359965801239, 0.0, 0.17868760228157043, 0.17868760228157043, 0.6829779148101807, 0.5432360172271729, 0.17868760228157043, -0.28919243812561035, 0.17868760228157043, 0.31056371331214905, -0.5633457899093628]"
B000GLRREU,"[5.340414524078369, 0.6677964329719543, 0.37644803524017334, 1.0105541944503784, 2.1757144927978516, -0.11721178889274597, 3.9400572776794434, 6.598358631134033, 0.4431838393211365, 0.600753664970398, 2.4323489665985107, 0.9670377373695374, 6.205167770385742, 0.9739755988121033, 1.525537133216858, 4.620996952056885, 0.5560566186904907, 7.450411796569824, 5.172334671020508, 3.436340093612671, 0.1736036241054535, 0.9670377373695374, 0.0, 0.0, -0.44619324803352356, 1.7337067127227783, 3.4176583290100098, 2.0357322692871094, 0.0, 1.7706358432769775, 0.0, 0.6677964329719543, 2.539036512374878, 1.5970861911773682, 1.9884518384933472, 0.42715007066726685, 5.282827377319336, 0.600753664970398, 0.14435432851314545, 3.630948066711426]"
B000LIBUBY,"[2.695783853530884, 0.0, 0.0, 2.022784471511841, 3.189300060272217, 0.14651672542095184, 2.549267053604126, 3.189300060272217, 0.6729993224143982, 0.0, 4.949889183044434, 0.0, 0.0, 2.022784471511841, 0.0, 0.0, 2.022784471511841, 2.1693012714385986, 2.1693012714385986, 2.695783853530884, 0.0, 0.0, 0.0, 0.0, 2.022784471511841, 0.0, 2.022784471511841, 2.022784471511841, 0.0, 2.022784471511841, 0.0, 0.0, 2.549267053604126, 2.1693012714385986, 0.0, 0.0, 0.0, 0.0, 0.0, 2.695783853530884]"
B000NKJIXM,"[6.075128555297852, 3.062883138656616, 0.4776303172111511, 1.2673513889312744, 2.5356221199035645, 0.37564170360565186, 6.814998626708984, 3.5697922706604004, 0.6998250484466553, 3.4385247230529785, 3.9732987880706787, 0.2708764970302582, 0.6314558982849121, 2.4571642875671387, 3.724574565887451, 3.348870038986206, 3.2620091438293457, 2.5467941761016846, 4.099250793457031, 9.219345092773438, 0.37564170360565186, 0.0, 0.05330686271190643, 0.0, 2.0338449478149414, 3.434992790222168, 11.314824104309082, 5.936037540435791, 0.0, 4.9637250900268555, 0.0, 2.8863675594329834, 4.810577869415283, 1.9916173219680786, -1.9666433334350586, 2.8863675594329834, 7.0148186683654785, 8.768272399902344, 0.1961113065481186, 10.234574317932129]"
B000PKKAGO,"[3.1833720207214355, 0.41496846079826355, 3.1833720207214355, 1.145361304283142, 3.1833720207214355, 0.0, 3.1833720207214355, 3.1833720207214355, -0.8134152293205261, 0.41496846079826355, 3.1833720207214355, 0.0, 3.1833720207214355, -1.439584493637085, 3.1657042503356934, 3.1430861949920654, -0.49799081683158875, 3.1833720207214355, 3.1833720207214355, 3.1833720207214355, 0.0, 0.0, 0.0, 0.0, 3.1833720207214355, 3.1833720207214355, 3.1833720207214355, 3.1833720207214355, 0.0, 3.1833720207214355, 0.0, -1.2283836603164673, 1.777953028678894, 3.1833720207214355, 0.24650441110134125, 0.0, 3.1833720207214355, 2.7648701667785645, -0.41210341453552246, 3.1833720207214355]"
B000URXP6E,"[164.9271697998047, 24.3436336517334, 26.311864852905273, 84.59884643554688, 181.60333251953125, 16.405607223510742, 153.69200134277344, 192.37762451171875, 118.7103042602539, 23.66187286376953, 184.5175323486328, 99.54793548583984, 82.34021759033203, 134.1169891357422, 20.923816680908203, 65.42671966552734, 44.55234146118164, 147.0734100341797, 119.10669708251953, 93.45252990722656, 7.099829196929932, 38.183502197265625, 1.6589164733886719, 0.0, 9.628854751586914, 33.60888671875, 58.73359680175781, 131.24917602539062, 0.0, 92.81271362304688, 0.0, 4.8508477210998535, 102.21991729736328, 89.40465545654297, 49.95948028564453, 4.015109062194824, 60.92767333984375, 44.053443908691406, 3.3860690593719482, 161.57852172851562]"
B000VUXCGI,"[0.5077455639839172, 0.3612293601036072, 0.18243995308876038, -0.08840472996234894, 1.0461803674697876, 0.14651624858379364, 0.38341718912124634, 1.9042285680770874, 0.8673909902572632, 0.3612293601036072, 0.8673909902572632, 0.18243995308876038, 0.178789421916008, 0.18243995308876038, 0.178789421916008, 1.170508861541748, 0.178789421916008, 1.3170251846313477, 0.9218519926071167, 0.20097722113132477, 0.0, 0.0, 0.0, 0.0, 0.0, 0.178789421916008, 0.3612293601036072, 1.1341272592544556, 0.0, 1.2556591033935547, 0.0, 0.178789421916008, 0.5077455639839172, 1.3170251846313477, -0.3951731026172638, 0.178789421916008, 0.3612293601036072, 0.178789421916008, 0.0, 0.11257248371839523]"
B000VV1YOY,"[0.6674417853355408, 0.0, 0.19646073877811432, 0.12122256308794022, 0.2360597848892212, 0.0, 0.7110378742218018, 1.0071396827697754, 0.2360597848892212, 0.0, 1.1820189952850342, 0.11483721435070038, 0.6073997616767883, 0.11483721435070038, 0.19646073877811432, 0.0, 0.2360597848892212, 0.3112979531288147, 0.7110378742218018, 0.19646073877811432, 0.0, 0.0, 0.0, 0.0, 0.19646073877811432, 0.19646073877811432, 0.37133997678756714, 0.4861772358417511, 0.0, 0.3112979531288147, 0.0, 0.0, 0.0, 0.771079957485199, 0.0, 0.0, 0.596200704574585, 0.0, 0.1748792678117752, 0.4109390377998352]"
B0010ZBORW,"[27.672975540161133, 4.463726997375488, 11.478257179260254, 10.404831886291504, 21.972026824951172, 0.2429082691669464, 28.68712615966797, 24.92774200439453, 5.571763038635254, 2.6735973358154297, 24.684295654296875, 1.0027824640274048, 13.650612831115723, 9.525918960571289, 11.781319618225098, 10.463786125183105, 3.8109145164489746, 20.05708122253418, 33.50761032104492, 28.346153259277344, 0.0, 0.7021034955978394, 2.401559829711914, 0.0, 12.726761817932129, 17.03022003173828, 13.658924102783203, 28.47694206237793, 0.0, 22.69851303100586, 0.0, 0.7876253128051758, 17.80487823486328, 22.48436164855957, 9.504892349243164, 1.127519965171814, 18.7044620513916, 11.21169662475586, 0.1508387327194214, 26.41920280456543]"
B00112DRHY,"[0.12963460385799408, 0.0, 0.12963460385799408, 0.12963460385799408, 0.12963460385799408, 0.12963460385799408, -0.14446280896663666, 0.12963460385799408, 0.12963460385799408, 0.12963460385799408, 0.12963460385799408, 0.0, 0.12963460385799408, 0.12963460385799408, 0.12963460385799408, 0.0, 0.12963460385799408, 0.12963460385799408, 0.12963460385799408, 0.12963460385799408, -0.563023030757904, 0.0, 0.0, 0.0, 0.0, 0.12963460385799408, 0.12963460385799408, 0.12963460385799408, 0.0, 0.12963460385799408, 0.0, 0.0, 0.12963460385799408, 0.0, 0.0, 0.0, 0.0, 0.12963460385799408, 0.0, 0.12963460385799408]"
B0011FYB5I,"[0.17390023171901703, 0.0, 0.17390023171901703, 0.17390023171901703, 0.17390023171901703, 0.17390023171901703, 0.17390023171901703, 0.17390023171901703, 0.17390023171901703, 0.17390023171901703, 0.17390023171901703, 0.0, 0.17390023171901703, 0.17390023171901703, 0.17390023171901703, 0.0, 0.17390023171901703, 0.17390023171901703, 0.34780046343803406, 0.17390023171901703, 0.17390023171901703, 0.0, 0.0, 0.0, 0.0, 0.17390023171901703, 0.17390023171901703, 0.17390023171901703, 0.0, 0.17390023171901703, 0.0, 0.0, 0.17390023171901703, 0.0, 0.0, 0.0, 0.0, 0.17390023171901703, 0.0, 0.17390023171901703]"
B0012XPRO8,"[1.5683976411819458, 0.6278007626533508, -0.13748671114444733, 0.3221432566642761, 2.171252727508545, 0.34738466143608093, -0.31322988867759705, 2.3260338306427, 1.4132615327835083, 2.0663037300109863, 0.10118251293897629, -0.025241393595933914, 0.41614773869514465, 1.4254682064056396, 0.4903140068054199, 0.07138580828905106, 0.9751853942871094, -0.6167773604393005, 1.6328812837600708, -2.668370246887207, 0.34738466143608093, 0.0, 0.0, 0.0, 0.7744966149330139, -0.19532498717308044, 0.7420180439949036, -0.6677926182746887, 0.0, 0.4903140068054199, 0.0, 0.6278007626533508, 0.4187704622745514, 1.4605103731155396, 1.1033248901367188, 0.6278007626533508, -0.32368138432502747, 0.5085746049880981, 1.091118335723877, -0.4635148048400879]"
B0012Y0ZG2,"[287.7257385253906, 29.99452018737793, 29.788625717163086, 145.90850830078125, 299.76416015625, 22.554380416870117, 232.3064422607422, 302.42828369140625, 193.71661376953125, 30.23042869567871, 303.4849853515625, 161.2755584716797, 154.12440490722656, 213.59434509277344, 53.25880813598633, 86.17558288574219, 91.37344360351562, 256.0269775390625, 193.7490997314453, 161.34750366210938, 8.148118019104004, 73.37308502197266, 2.089806079864502, -0.39915990829467773, 41.76762390136719, 47.571434020996094, 125.736083984375, 208.8013916015625, 0.044674165546894073, 162.42990112304688, 0.0, 21.828289031982422, 166.0736846923828, 173.38519287109375, 97.45735931396484, 6.698460578918457, 88.35257720947266, 54.20413589477539, 10.172451972961426, 264.632080078125]"
B0013NB7DW,"[8.5802001953125, 5.001396656036377, 0.4103347361087799, 7.987199783325195, 8.321155548095703, 0.40873366594314575, 3.467444658279419, 8.468976974487305, 5.957845687866211, 3.5202269554138184, 9.821640968322754, 8.513492584228516, 5.655879020690918, 8.789393424987793, 5.2277069091796875, 6.437674045562744, 3.310035467147827, 9.604342460632324, 7.685396194458008, 4.746809005737305, 0.43598031997680664, -0.02724665030837059, 0.0, 0.0, 3.889836549758911, 3.2549891471862793, 8.053145408630371, 6.115124702453613, 0.0, 5.564207077026367, 0.0, 2.8740551471710205, 9.193887710571289, 6.216854095458984, 2.2158780097961426, 2.8740551471710205, 5.299937725067139, 5.564207077026367, 0.12649522721767426, 9.299973487854004]"
B0014SQQ3M,"[0.0, 0.0, 0.0, 0.0, 0.7191669344902039, 0.0, 0.37770000100135803, 0.37770000100135803, 0.0, 0.0, 0.37770000100135803, 0.0, 0.0, 0.37770000100135803, 0.37770000100135803, 0.0, 0.0, 0.0, 0.37770000100135803, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.37770000100135803, 0.37770000100135803, 0.0, 0.37770000100135803, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.37770000100135803, 0.0, 0.7191669344902039]"
B0017TZD7S,"[3.9766671657562256, 0.4566241502761841, 0.1726878583431244, 3.2226219177246094, 4.213954925537109, 0.0, 4.026012420654297, 4.213954925537109, 0.0, 0.4566241502761841, 4.213954925537109, 0.0, 4.213954925537109, 3.2226219177246094, 4.213954925537109, 0.6307026147842407, 3.679246187210083, 4.0859456062316895, 3.8519341945648193, 3.6982929706573486, 0.0, 0.0, 0.0, 0.0, 3.3321638107299805, 0.6293119788169861, 2.8246562480926514, 3.971020221710205, 0.0, 3.8519341945648193, 0.0, 4.213954925537109, 3.8533246517181396, 4.213954925537109, 0.0, 0.4566241502761841, 4.213954925537109, 0.4566241502761841, 0.0, 4.213954925537109]"
B001E96LUO,"[4.384968280792236, 0.35713937878608704, 0.0, 0.3632202446460724, 3.264260768890381, 0.02500321716070175, 4.563241958618164, 3.523043394088745, 1.9426993131637573, 2.2998387813568115, 3.3302974700927734, 0.0, 2.318897008895874, 2.6831555366516113, 0.7593784928321838, 0.3761976659297943, 0.35713937878608704, 2.791288375854492, 2.4049065113067627, 4.207993030548096, 0.0, 0.02500321716070175, 0.0, 0.0, 1.6152349710464478, 0.35713937878608704, 2.867274522781372, 4.874539852142334, 0.0, 2.6145973205566406, 0.0, 0.35713937878608704, 0.3821426033973694, 4.943789958953857, 3.828866481781006, 0.35713937878608704, 0.35713937878608704, 1.0725922584533691, 1.9426993131637573, 4.943789958953857]"
B001ET7FZE,"[12.661867141723633, 4.300150394439697, 1.6724624633789062, 2.879828929901123, 9.721184730529785, 0.2640502154827118, 12.205060005187988, 10.761165618896484, 2.3618619441986084, 2.2286624908447266, 12.026876449584961, 1.0079152584075928, 8.654397010803223, 5.799458980560303, 3.1918959617614746, 2.354008197784424, 1.1427247524261475, 9.79377555847168, 7.540802955627441, 13.150225639343262, 0.29759541153907776, 0.7922347784042358, 0.42294105887413025, 0.0, 5.17127799987793, 6.287386417388916, 9.95427417755127, 13.73072624206543, 0.0, 11.671167373657227, 0.0, 0.8451292514801025, 5.110317230224609, 11.311616897583008, 6.439767837524414, 0.8451292514801025, 9.128662109375, 7.164585590362549, 0.0, 13.836788177490234]"
